<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.06	18:45:00	2640.18	2641.24	2638.60	2640.74	1784	0	12
2025.01.06	19:00:00	2640.79	2640.99	2638.93	2639.51	1178	0	14
2025.01.06	19:15:00	2639.50	2640.05	2636.80	2637.33	1520	0	14
2025.01.06	19:30:00	2637.34	2637.40	2635.80	2636.00	1298	0	13
2025.01.06	19:45:00	2636.03	2636.94	2634.24	2636.69	1169	0	13
2025.01.06	20:00:00	2636.71	2637.50	2633.76	2635.38	1727	0	14
2025.01.06	20:15:00	2635.48	2638.55	2635.06	2636.23	1472	0	13
2025.01.06	20:30:00	2636.22	2636.98	2634.77	2636.17	1391	0	13
2025.01.06	20:45:00	2636.19	2636.59	2634.55	2634.58	988	0	13
2025.01.06	21:00:00	2634.62	2634.82	2632.89	2634.01	1654	0	13
2025.01.06	21:15:00	2634.02	2635.04	2633.54	2634.49	1353	0	13
2025.01.06	21:30:00	2634.44	2635.28	2633.62	2635.21	1169	0	13
2025.01.06	21:45:00	2635.20	2635.58	2633.90	2634.37	1067	0	13
2025.01.06	22:00:00	2634.36	2634.90	2633.13	2634.14	1024	0	13
2025.01.06	22:15:00	2634.08	2635.46	2633.54	2634.12	1027	0	13
2025.01.06	22:30:00	2634.10	2634.48	2633.24	2634.48	804	0	13
2025.01.06	22:45:00	2634.57	2634.80	2633.74	2634.53	937	0	13
2025.01.06	23:00:00	2634.60	2636.40	2634.57	2636.21	522	0	13
2025.01.06	23:15:00	2636.15	2637.01	2636.04	2636.74	410	0	13
2025.01.06	23:30:00	2636.74	2636.89	2635.62	2635.74	330	0	14
2025.01.06	23:45:00	2635.74	2636.00	2635.33	2635.43	224	0	67
2025.01.07	01:00:00	2635.76	2636.06	2635.26	2635.63	162	0	19
2025.01.07	01:15:00	2635.64	2635.64	2634.81	2634.87	226	0	18
2025.01.07	01:30:00	2634.85	2634.90	2634.06	2634.16	315	0	18
2025.01.07	01:45:00	2634.29	2635.19	2633.56	2634.60	496	0	19
